"Motif Reference","Motif Title","Location / Tradition",Latitude,Longitude,"Narrative Text",source,berezkin,other_data
,N/A,Germany,51.083,10.426,"The Killcrop of Halberstadt
A man who lived near Halberstadt in Saxony had a killcrop who had sucked his mother and five additional wet nurses dry. Further, he was eating a great deal and behaving very strangely. The man was told that he should take the child on a pilgrimage to Hockelstadt to praise the Virgin Mary and to have him weighed there. The peasant followed this advice and set forth, carrying the child in a basket. But when he came to a bridge over some water, a devil in the water beneath the bridge called out: ""Killcrop! Killcrop!"" The child in the basket, who had never yet spoken a word, answered: ""Ho! Ho!"" This startled the peasant. The devil in the water then asked: ""Where are you going?"" The killcrop said: ""I'm on my way to Hockelstadt to Our Dear Lady, to have myself weighed there so that I may grow."" When the peasant heard the changeling speak, the first time this had ever happened, he became angry and threw the child into the water, basket and all. Then the two devils came together, shouted ""Ho, ho, ha!,"" played with each other, rolled around with each other, and disappeared.
Satan plagues mankind with such changelings and killcrops by substituting them for real children. Satan has the power to exchange children, placing a devil in the cradle in the place of a child. This devil will suck and eat like an animal, but it will not grow. Thus it is said that changelings and killcrops do not live longer than eighteen or nineteen years.

It happens often, that babies are exchanged during their first six weeks, and that devils lay themselves in their place, making themselves detestable by shitting, eating, and crying more than any ten other children. The parents get no rest from such filthy beasts. The mothers are sucked dry and are no longer able to nurse.... However, changeling children should be baptized, because they cannot always be recognized as such during their first year.

",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=iMPND2p59AfRIkidhkzgT3Gn,N/A,
,N/A,Denmark,56.001,9.379,"In Rold Forest, near Hobro, there lived a married couple who had only one child, a boy of eight or nine years old, but he was no bigger than a child of three. He had a large head and thick speech, and was as ugly as sin, but neither the man nor the wife could see this, for of course everyone thinks well of their own children.
One harvest the man had a litter of little pigs, and as these were so cheap that year that it would not pay to sell them, they roasted them and ate them themselves. They wrapped them up in a piece of canvas, plastered this over with clay, and laid them in the glowing ashes, and when they were sufficiently roasted, they could flay canvas, clay and hair off them, and then take out the inside. This then made a beautiful roast, which they ate with great satisfaction.

One day they had laid one of the little pigs in the ashes to be cooked in this way, and had gone out to the harvest, leaving it to be ready when they came home again.

The child was left poking about at home, and in raking among the ashes he found the pig. At first he was greatly puzzled as to what this could be, but finally made up his mind that it was a sausage.

At this he was greatly delighted, leapt and sprang round the room, crying out, ""Sausage, have you ears? Sausage, have you eyes? Sausage, have you a tail? I have lived so long that I have seen Rold Forest cut down twice and grow up thrice, but never have I seen such a sausage!""

He kept on shouting this and leaping about, till finally he crawled up on a rafter, and was sitting there repeating the same words, when the man and his wife came home.

The woman heard him and said, ""Now I know why the child is never growing any bigger. He is a changeling, but I'll soon get rid of him.""

She entered the house, and called to the little fellow to come down, as she wanted to talk to him. He did so, and she took him and gave him a good thrashing, and threw him out of doors. There he lay and howled at the top of his voice.

After a while there came an ugly little woman with a child on her arm, which she threw to the woman, saying, ""There you have your youngster; I have been better to him than you have been to mine.""

When she had said this she disappeared with the changeling, but the woman's own child was quite ruined by the troll-folk, and died soon after.",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=0cfOFwbPymDXOExpeDvkMZyC,N/A,
,N/A,Germany,51.083,10.426,"A miller fell slowly but surely into poverty, until finally he had nothing more than his mill and a large apple tree which stood behind it.
One day he had gone into the forest to gather wood, where he was approached by an old man, whom he had never seen before, and who said, ""Why do you torment yourself with chopping wood? I will make you rich if you will promise me that which is standing behind your mill.""

""What can that be but my apple tree?"" thought the miller, said yes, and signed it over to the strange man.

The latter, however, laughed mockingly and said, ""I will come in three years and get what belongs to me,"" then went away.

When he arrived home, his wife came up to him and said, ""Miller, tell me, where did all the wealth come from that is suddenly in our house? All at once all the chests and boxes are full, and no one brought it here, and I don't know where it came from.""

He answered, ""It comes from an strange man whom I met in the woods and who promised me great treasures if I would but sign over to him that which stands behind the mill. We can give up the large apple tree for all this.""

""Oh, husband!"" said the woman, terrified. ""That was the devil. He didn't mean the apple tree, but our daughter, who was just then standing behind the mill sweeping the yard.""

The miller's daughter was a beautiful and pious girl, and she lived the three years worshipping God and without sin. When the time was up and the day came when the evil one was to get her, she washed herself clean and drew a circle around herself with chalk. The devil appeared very early in the morning, but he could not approach her.

He spoke angrily to the miller, ""Keep water away from her, so she cannot wash herself any more. Otherwise I have no power over her.""

The miller was frightened and did what he was told. The next morning the devil returned, but she had wept into her hands, and they were entirely clean.

Thus he still could not approach her, and he spoke angrily to the miller, ""Chop off her hands. Otherwise I cannot get to her.""

The miller was horrified and answered, ""How could I chop off my own child's hands!""

Then the evil one threatened him, saying, ""If you do not do it, then you will be mine, and I will take you yourself.""

This frightened the father, and he promised to obey him. Then he went to the girl and said, ""My child, if I do not chop off both of your hands, then the devil will take me away, and in my fear I have promised him to do this. Help me in my need, and forgive me of the evil that I am going to do to you.""

She answered, ""Dear father, do with me what you will. I am your child,"" and with that she stretched forth both hands and let her father chop them off.

The devil came a third time, but she had wept so long and so much onto the stumps, that they were entirely clean. Then he had to give up, for he had lost all claim to her.

The miller spoke to her, ""I have gained great wealth through you. I shall take care of you in splendor as long as you live.""

But she answered, ""I cannot remain here. I will go away. Compassionate people will give me as much as I need.""

Then she had her mutilated arms tied to her back, and at sunrise she set forth, walking the entire day until it was night. She came to a royal garden, and by the light of the moon she saw that inside there were trees full of beautiful fruit. But she could not get inside, for there it was surrounded by water.

Having walked the entire day without eating a bite, she was suffering from hunger, and she thought, ""Oh, if only I were inside the garden so I could eat of those fruits. Otherwise I shall perish.""

Then she kneeled down and, crying out to God the Lord, she prayed. Suddenly an angel appeared. He closed a head gate, so that the moat dried up, and she could walk through.

She entered the garden, and the angel went with her. She saw a fruit tree with beautiful pears, but they had all been counted. She stepped up to the tree and ate from it with her mouth, enough to satisfy her hunger, but no more. The gardener saw it happen, but because the angel was standing by her he was afraid and thought that the girl was a spirit. He said nothing and did not dare to call out nor to speak to the spirit. After she had eaten the pear she was full, and she went and lay down in the brush.

The king who owned this garden came the next morning. He counted the fruit and saw that one of the pears was missing. He asked the gardener what had happened to it. It was not lying under the tree, but had somehow disappeared.

The gardener answered, ""Last night a spirit came here. It had no hands and ate one of the pears with its mouth.""

The king said, ""How did the spirit get across the water? And where did it go after it had eaten the pear?""

The gardener answered, ""Someone dressed in snow-white came from heaven and closed the head gate so the spirit could walk through the moat. Because it must have been an angel I was afraid, and I asked no questions, and I did not call out. After the spirit had eaten the pear it went away again.""

The king said, ""If what you said is true, I will keep watch with you tonight.""

After it was dark the king entered the garden, bringing a priest with him who was to talk to the spirit. All three sat down under the tree and kept watch. At midnight the girl came creeping out of the brush, stepped up to the tree, and again ate off a pear with her mouth. An angel dressed in white was standing next to her.

The priest walked up to them and said, ""Have you come from God, or from the world? Are you a spirit or a human?""

She answered, ""I am not a spirit, but a poor human who has been abandoned by everyone except God.""

The king said, ""Even if you have been abandoned by the whole world, I will not abandon you.""

He took her home with him to his royal castle, and because she was so beautiful and pure he loved her with all his heart, had silver hands made for her, and took her as his wife.

After a year the king had to go out into the battlefield, and he left the young queen in the care of his mother, saying, ""If she has a child, support her and take good care of her, and immediately send me the news in a letter.""

She gave birth to a beautiful son. The old mother quickly wrote this in a letter, giving the joyful news to the king.

Now on the way the messenger stopped at a brook to rest. Tired from his long journey, he fell asleep. Then the devil came to him. He still wanted to harm the pious queen, and he took the letter, putting in its place one that stated that the queen had brought a changeling into the world. When the king read this letter he was frightened and saddened, but nevertheless he wrote an answer that they should take good care of the queen until his return. The messenger returned with this letter, but he rested at the same place, and again fell asleep. The devil came again and placed a different letter in his bag. This letter said that they should kill the queen with her child.

The old mother was terribly frightened when she received this letter. She could not believe it, and wrote to the king again, but she got back the same answer, because each time the devil substituted a false letter. And the last letter even stated that they should keep the queen's tongue and eyes as proof.

The old mother lamented that such innocent blood was to be shed, and in the night she had a doe killed, cut out its tongue and eyes, and had them put aside.

Then she said to the queen, ""I cannot have you killed as the king has ordered, but you can no longer stay here. Go out into the wide world with your child, and never come back.""

The old mother tied the queen's child onto her back, and the poor woman went away with weeping eyes. She came to a great, wild forest where she got onto her knees and prayed to God. Then the angel of the Lord appeared to her and led her to a small house. On it was a small sign with the words, ""Here anyone can live free.""

A snow-white virgin came from the house and said, ""Welcome, Queen,"" then led her inside. She untied the small boy from her back, held him to her breast so he could drink, and then laid him in a beautiful made-up bed.

Then the poor woman said, ""How did you know that I am a queen?""

The white virgin answered, ""I am an angel, sent by God to take care of you and your child.""

She stayed in this house for seven years, and was well taken care of. And through the grace of God and her own piety her chopped-off hands grew back.

The king finally came back home from the battlefield, and the first thing he wanted to do was to see his wife and their child.

Then the old mother began to weep, saying, ""You wicked man, why did you write to me that I was to put two innocent souls to death,"" and she showed him the two letters that the evil one had counterfeited. Then she continued to speak, ""I did what you ordered,"" and showed him as proof the eyes and the tongue.

Then the king began to weep even more bitterly for his poor wife and his little son, until the old woman had mercy and said to him, ""Be satisfied that she is still alive. I secretly had a doe killed and took the proofs from it. I tied your wife's child onto her back and told her to go out into the wide world, and she had to promise never to come back here, because you were so angry with her.""

Then the king said, ""I will go as far as the sky is blue, and will neither eat nor drink until I have found my dear wife and my child again, provided that in the meantime they have not died or perished from hunger.""

Then the king traveled about for nearly seven years, searching in all the stone cliffs and caves, but he did not find her, and he thought that she had perished. He neither ate nor drank during the entire time, but God kept him alive. Finally he came to a great forest, where he found a little house with a sign containing the words, "" Here anyone can live free.""

The white virgin came out, took him by the hand, led him inside, and said, ""Welcome, King,"" then asked him where he had come from.

He answered, ""I have been traveling about for nearly seven years looking for my wife and her child, but I cannot find them.""

The angel offered him something to eat and drink, but he did not take it, wanting only to rest a little. He lay down to sleep, covering his face with a cloth.

Then the angel went into the room where the queen was sitting with her son, whom she normally called ""Filled-with-Grief.""

The angel said to her, ""Go into the next room with your child. Your husband has come.""

She went to where he was lying, and the cloth fell from his face.

Then she said, ""Filled-with-Grief, pick up the cloth for your father and put it over his face again.""

The child picked it up and put it over his face again. The king heard this in his sleep and let the cloth fall again.

Then the little boy grew impatient and said, ""Mother, dear, how can I cover my father's face? I have no father in this world. I have learned to pray, 'Our father which art in heaven,' and you have said that my father is in heaven, and that he is our dear God. How can I know such a wild man? He is not my father.""

Hearing this, the king arose and asked who she was.

She said, ""I am your wife, and this is your son Filled-with-Grief.""

He saw her living hands and said, ""My wife had silver hands.""

She answered, ""Our merciful God has caused my natural hands to grow back.""

The angel went into the other room, brought back the silver hands, and showed them to him.

Now he saw for sure that it was his dear wife and his dear child, and he kissed them, and rejoiced, and said, ""A heavy stone has fallen from my heart.""

Then the angel of God gave them all something to eat, and then they went back home to his old mother. There was great joy everywhere, and the king and the queen conducted their wedding ceremony once again, and they lived happily until their blessed end.

",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=7vsG3ttrY7aJPL2lzw1xhuvU,N/A,
,N/A,Germany,51.083,10.426,"Phantom Swedes
Karl Lyncker, German Legends and Customs in the Hessian Districts
Since the Thirty Years' War, the Swedes have lived in dreadful memory along the Kinzig River. ""Swede,"" like ""Croat,"" is a bad curse word, and there are stories of male and female phantom Swedes as harmful beings and evil sorcerers.
In Steinau, a woman, carrying her year and a half old boy on her arm, came upon the Phantom Swedish Woman while walking across the street in broad daylight. The latter grabbed the child and made it disappear. She told the grieving mother to go back home, where she would find her child in his bed. Seized by a deathly fear, the woman hurried home. In the bed she saw a howling, ugly changeling, a boy with an extremely thick head. With time the boy grew up, but he remained mentally retarded.

",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=rWnuIixcQ69Ppj7DCPQRaGlG,N/A,
,N/A,Germany,51.083,10.426,"In Unterpreilipp, a village beneath Kulm Heights, which stretches down to the banks of the Saale, and where there is an ancient little church with exquisite carved images and a hand organ that Duke Ernst the Pious is said to have played himself, one night there was a knock at the midwife's door.
A little man stood outside and called for her. When she came out, he led her to the lower village towards the Saale and tied a blindfold over her eyes. He then struck the water with a stick. The water parted, and the two of them went down some steps and finally came to a little room, where the little man took the cloth from from her eyes. She saw a little woman lying in a little bed who urgently needed her help.

Then the man left the room.

The midwife performed her service with great success, whereupon the little woman said: ""I was baptized a Christian like you, but the horrible water sprite replaced me with a changeling when I was only six weeks old. He devours all my children on the third day. He will come back soon and offer you a lot of money, but don't take more than others give you. I know that your kind like to take as much as possible. Don't take any bread with you either, and don't drink any wine if he offers it to you, or he'll wring your neck afterwards.""

The midwife followed these instructions exactly and was led back safely to dry land.

As she was leaving, the water sprite roared: ""You did well not to take more than you deserved!""

Afterward the midwife no longer accepted food and drink where she was called to serve, nor did she take food home after delivering a baby. Furthermore, she did not ask for large payments from poor people.

",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=tRYiXQGEH3jXFnj8LgNvMgDg,N/A,
,N/A,Germany,51.083,10.426,"The Changeling
Anton Altrichter, Legends from the Iglau Language Island [in Moravia]
An old midwife related this, so it must be true. Until a child is baptized, mysterious beings attempt to steal it and put a changeling in its place. Such a changeling has a large head with coal-black hair and a small body with thin legs, which do not learn to walk. When this misfortune occurs, one must beat the changeling without mercy until the thief returns the right child.
A woman had laid her as yet unbaptized baby in a canopied bed. The cherries had just ripened, and the red, tempting fruit was beckoning through the window from the garden. The new mother could not resist, and went outside to pick a few cherries. She had scarcely crossed the threshold when she was overcome by anxiety for her slumbering child, and she quickly returned. There was, in fact, a being standing next to the bed. The woman cried out and the being disappeared. The imprint of its horrible paw, where it had grabbed for the child, could still be seen on the canopied bed.",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=Um2LutWzR94qaRq3WTm0n0f4,N/A,
,N/A,Germany,51.083,10.426,"The Changeling of Plau
Karl Bartsch, Legends, Tales, and Customs from Mecklenburg
A married couple in Plau had a child that after two years was still only as long as a shoe. It had an enormously large head and could not learn to talk. They shared their concern with an old man, who said: ""For sure the underground people have exchanged your child. If you want to be certain about this, then take an empty eggshell and in the presence of the child pour fresh beer into it, then add yeast to make it ferment. If the child then starts to talk, then my suspicion is right."" They followed this advice. The beer had scarcely begun to ferment when the child called out from its cradle:
Now I am as old
As Bohemian gold,
But this is the first I've ever heard tell,
Of beer being brewed in an eggshell.
The parents determined that the very next night they would throw the child into the Elbe River. They arose after midnight and went to the cradle, where they discovered a strong and healthy child. The underground people had taken back their own child.",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=xCySzOLwkGdCrRTCSt3SNMRP,N/A,
,N/A,"The Changelings",N/A,N/A,"Every intelligent grandmother knows that the fire must not be allowed to go out in a room where there is a child not yet christened; that the water in which the newborn child is washed should not be thrown out; also, that a needle, or some other article of steel must be attached to its bandages [diapers]. If attention is not paid to these precautions it may happen that the child will be exchanged by the trolls, as once occurred in Bettna many years ago.
A young peasant's wife had given birth to her first child. Her mother, who lived some distance away, was on hand to officiate in the first duties attending its coming, but the evening before the day on which the child should be christened she was obliged to go home for a short time to attend to the wants of her own family, and during her absence the fire was allowed to go out.

No one would have noticed anything unusual, perhaps, if the child had not, during the baptism, cried like a fiend. After some weeks, however, the parents began to observe a change. It became ugly, cried continuously, and was so greedy that it devoured everything that came in its way. The people being poor, they were in great danger of being eaten out of house and home. There could no longer be any doubt that the child was a changeling. Whereupon the husband sought a wise old woman, who, it was said, could instruct the parents what to do to get back their own child.

The mother was directed to build a fire in the bake oven three Thursday evenings in succession, lay the young one upon the bake shovel, then pretend that she was about to throw it into the fire.

The advice was followed, and when the woman, the third evening, was in the act of throwing the changeling into the fire, it seemed, a little deformed, evil-eyed woman rushed up with the natural child, threw it in the crib, and requested the return of her child. ""For,"" said she, ""I have never treated your child so badly and I have never thought to do it such harm as you now propose doing mine,"" whereupon she took the unnatural child and vanished through the door.

Another changeling story, but with less unfortunate consequences, is told in Södermanland:
A resident of Vingåkir, who made frequent trips to Nyköping with loads of flour, was in the habit of halting for the night at the house of a farmer in Verna. One summer night he arrived later than usual, and, as the people were already in bed and asleep, the weather being pleasant, he did not wish to wake anyone, so unhitched his horse from the wagon, hitched him to a haystack, and laid himself under the wagon to sleep.
He had been some time under the wagon, yet awake, when, from under a stone nearby, an ugly, deformed woman, carrying a babe, made her appearance. Looking about her carefully, she laid the child on the stone and went into the house. In a short time she returned, bearing another child; laid it upon the stone, and taking up the first one, returned to the house.

The man observed her actions, and divining their purpose, crept cautiously from his resting place as soon as the woman had disappeared into the house, took the sleeping child and hid it in his coat under the wagon. When the troll returned and found the child gone, she went a third time to the house, for which she returned with the child she had just carried in, whereupon she disappeared under the stone.

The traveler, anxious for the welfare of his little charge, which had in such an extraordinary manner fallen into his hands, could not close his eyes for the rest of the night.

As soon as it dawned he went with his precious burden to the house, where he found the occupants in great consternation over the disappearance of the child, which, as may be presumed, was received with great rejoicing.",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=8E3mFOFBziXlT7I9kdBFMt01,N/A,
,N/A,Denmark,56.001,9.379,"There lived once, near Tis Lake, two lonely people, who were sadly plagued with a changeling, given them by the underground people instead of their own child, which had not been baptized in time.

This changeling behaved in a very strange and uncommon manner, for when there was no one in the place, he was in great spirits, ran up the walls like a cat, sat under the roof, and shouted and bawled away lustily; but sat dozing at the end of the table when anyone was in the room with him.

He was able to eat as much as any four, and never cared what it was that was set before him; but though he regarded not the quality of his food, in quantity he was never satisfied, and gave excessive annoyance to everyone in the house.

When they had tried for a long time in vain how they could best get rid of him since there was no living in the house with him, a smart girl pledged herself that she would banish him from the house. She accordingly, while he was out in the fields, took a pig and killed it, and put it, hide, hair, and all, into a black pudding, and set it before him when he came home.

He began, as was his custom, to gobble it up, but when he had eaten for some time, he began to relax a little in his efforts, and at last he sat quite still, with his knife in his hand, looking at the pudding. At length, after sitting for some time in this manner, he began: ""A pudding with hide! And a pudding with legs in it! Well, three times have I seen a young wood by Tis Lake, but never yet did I see such a pudding! The devil himself may stay here now for me!""

So saying, he ran off with himself, and never more came back again.

Another changeling was got rid of in the following manner:
The mother, suspecting it to be such from its refusing food, and being so ill-thriven, heated the oven as hot as possible. The maid, as instructed, asked her why she did it.
""To burn my child in it to death,"" was the reply.

When the question had been put and answered three times, she placed the child on the peel, and was shoving it into the oven, when the troll-woman came in a great fright with the real child, and took away her own, saying, ""There's your child for you. I have treated it better than you treated mine,"" and in truth it was fat and hearty.

",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=sJ3I2BpT7TnTGuN7pGGqtj2w,N/A,
,N/A,Ireland,53,-8,"The Changeling
Ireland
A young woman, whose name was Mary Scannell, lived with her husband not many years ago at Castle Martyr. One day in harvest time she went with several more to help in binding up the wheat, and left her child, which she was nursing, in a corner of the field, quite safe, as she thought, wrapped up in her cloak.
When she had finished her work, she returned where the child was, but in place of her own child she found a thing in the cloak that was not half the size, and that kept up such a crying you might have heard it a mile off: so she guessed how the case was, and, without stop or stay, away she took it in her arms, pretending to be mighty fond of it all the while, to a wise woman, who told her in a whisper not to give it enough to eat, and to beat and pinch it without mercy, which Mary Scannell did; and just in one week after to the day, when she awoke in the morning, she found her own child lying by her side in the bed!

The fairy that had been put in its place did not like the usage it got from Mary Scannell, who understood how to treat it, like a sensible woman as she was, and away it went after the week's trial, and sent her own child back to her.",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=GCmA07VfWh2G9XiPxFeJx6lM,N/A,
,N/A,Norway,64.978,16.67,"Sigrid, a midwife at Rørhus in Sundelven parish, was once taken by a huldre-man to his wife who was having difficulty giving birth.
Sigrid succeeded at her craft, and after the baby was born, the huldre-man took it and went away with it to Sigrid's neighbor woman at Rørhus, and exchanged it for her new-born child, since she too had recently given birth. He stated aloud that the exchange would last as long as their cowshed was standing.

Sigrid was taken back home, and the underground-man gave her a wooden box and a basket packed with sweets and food for her help with the huldre-woman.

Concerning the changeling given to Sigrid's neighbor woman: When he grew up he remained a true huldre-fellow who often had dealings with his companions -- saw them in broad daylight, conversed with them, and saw their cattle grazing near Rørhus. He saw how milking was done by the Huldre-people, how they prepared curdled milk, and so forth.

When the woman saw that he was completely preoccupied with the undergound people, she realized that he was a changeling, and she wanted to get her real son back from the underground people. She recalled the words that the Huldre-fellow had said when the exchange had taken place: that it would last as long as their cowshed was standing. Thus she had the cowshed burned down. The scurvy troll disappeared, and the Rørhus woman got her right child back.

",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=rgdhEij10GbvaLqAWwJeej5i,N/A,
,N/A,Germany,51.083,10.426,"A Changeling Is Beaten with a Switch
Jacob and Wilhelm Grimm, German Legends
The following true story took place in the year 1580. Near Breslau there lived a distinguished nobleman who had a large crop of hay every summer which his subjects were required harvest for him. One year there was a new mother among his harvest workers, a woman who had barely had a week to recover from the birth of her child. When she saw that she could not refuse the nobleman's decree, she took her child with her, placed it on a small clump of grass, and left it alone while she helped with the haymaking. After she had worked a good while, she returned to her child to nurse it. She looked at it, screamed aloud, hit her hands together above her head, and cried out in despair, that this was not her child: It sucked the milk from her so greedily and howled in such an inhuman manner that it was nothing like the child she knew.
As is usual in such cases, she kept the child for several days, but it was so ill-behaved that the good woman nearly collapsed. She told her story to the nobleman. He said to her: ""Woman, if you think that this is not your child, then do this one thing. Take it out to the meadow where you left your previous child and beat it hard with a switch. Then you will witness a miracle.""

The woman followed the nobleman's advice. She went out and beat the child with a switch until it screamed loudly. Then the Devil brought back her stolen child, saying: ""There, you have it!"" And with that he took his own child away.

This story is often told and is known by both the young and the old in and around Breslau.",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=suX2PvshNXPFzDucZ9aBE5kJ,N/A,
504,N/A,Germany,51.083,10.426,"<title>The Elves</title><chapter id=""1""><p id=""p-1"">FIRST STORY</p><p id=""p-2"">A shoemaker, by no fault of his own, had become so poor that at last he had nothing left but leather for one pair of shoes.So in the evening, he cut out the shoes which he wished to begin to make the next morning, and as he had a good conscience, he lay down quietly in his bed, commended himself to God, and fell asleep.In the morning, after he had said his prayers, and was just going to sit down to work, the two shoes stood quite finished on his table.He was astounded, and knew not what to say to it.He took the shoes in his hands to observe them closer, and they were so neatly made that there was not one bad stitch in them, just as if they were intended as a masterpiece.Soon after, a buyer came in, and as the shoes pleased him so well, he paid more for them than was customary, and, with the money, the shoemaker was able to purchase leather for two pairs of shoes.He cut them out at night, and next morning was about to set to work with fresh courage;but he had no need to do so, for, when he got up, they were already made, and buyers also were not wanting, who gave him money enough to buy leather for four pairs of shoes.The following morning, too, he found the four pairs made;and so it went on constantly, what he cut out in the evening was finished by the morning, so that he soon had his honest independence again, and at last became a wealthy man.Now it befell that one evening not long before Christmas, when the man had been cutting out, he said to his wife, before going to bed, ""What think you if we were to stay up to-night to see who it is that lends us this helping hand?""The woman liked the idea, and lighted a candle, and then they hid themselves in a corner of the room, behind some clothes which were hanging up there, and watched.When it was midnight, two pretty little naked men came, sat down by the shoemaker's table, took all the work which was cut out before them and began to stitch, and sew, and hammer so skilfully and so quickly with their little fingers that the shoemaker could not turn away his eyes for astonishment.They did not stop until all was done, and stood finished on the table, and they ran quickly away.</p><p id=""p-3"">Next morning the woman said, ""The little men have made us rich, and we really must show that we are grateful for it.They run about so, and have nothing on, and must be cold.I'll tell thee what I'll do:I will make them little shirts, and coats, and vests, and trousers, and knit both of them a pair of stockings, and do thou, too, make them two little pairs of shoes.""The man said, ""I shall be very glad to do it;""and one night, when everything was ready, they laid their presents all together on the table instead of the cut-out work, and then concealed themselves to see how the little men would behave.At midnight they came bounding in, and wanted to get to work at once, but as they did not find any leather cut out, but only the pretty little articles of clothing, they were at first astonished, and then they showed intense delight.They dressed themselves with the greatest rapidity, putting the pretty clothes on, and singing, </p><p id=""p-4"">""Now we are boys so fine to see,</p><p id=""p-5"">Why should we longer cobblers be?""</p><p id=""p-6"">Then they danced and skipped and leapt over chairs and benches.At last they danced out of doors.From that time forth they came no more, but as long as the shoemaker lived all went well with him, and all his undertakings prospered.</p><p id=""p-7"">SECOND STORY</p><p id=""p-8"">There was once a poor servant-girl, who was industrious and cleanly, and swept the house every day, and emptied her sweepings on the great heap in front of the door.One morning when she was just going back to her work, she found a letter on this heap, and as she could not read, she put her broom in the corner, and took the letter to her master and mistress, and behold it was an invitation from the elves, who asked the girl to hold a child for them at its christening.The girl did not know what to do, but at length, after much persuasion, and as they told her that it was not right to refuse an invitation of this kind, she consented.Then three elves came and conducted her to a hollow mountain, where the little folks lived.Everything there was small, but more elegant and beautiful than can be described.The baby's mother lay in a bed of black ebony ornamented with pearls, the coverlids were embroidered with gold, the cradle was of ivory, the bath of gold.The girl stood as godmother, and then wanted to go home again, but the little elves urgently entreated her to stay three days with them.So she stayed, and passed the time in pleasure and gaiety, and the little folks did all they could to make her happy.At last she set out on her way home.Then first they filled her pockets quite full of money, and after that they led her out of the mountain again.When she got home, she wanted to begin her work, and took the broom, which was still standing in the corner, in her hand and began to sweep.Then some strangers came out of the house, who asked her who she was, and what business she had there?And she had not, as she thought, been three days with the little men in the mountains, but seven years, and in the meantime her former masters had died.</p><p id=""p-9"">THIRD STORY</p><p id=""p-10"">A certain mother's child had been taken away out of its cradle by the elves, and a changeling with a large head and staring eyes, which would do nothing but eat and drink, laid in its place.In her trouble she went to her neighbour, and asked her advice.The neighbour said that she was to carry the changeling into the kitchen, set it down on the hearth, light a fire, and boil some water in two egg-shells, which would make the changeling laugh, and if he laughed, all would be over with him.The woman did everything that her neighbour bade her.When she put the egg-shells with water on the fire, the imp said, ""I am as old now as the Wester forest, but never yet have I seen any one boil anything in an egg-shell!""And he began to laugh at it.Whilst he was laughing, suddenly came a host of little elves, who brought the right child, set it down on the hearth, and took the changeling away with them.</p></chapter></text></div",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=uZfm7S0FkgByWilfgwhefhgB,N/A,xmlfiles/eng/trans-373.xml
